Threat Category,Threat/Content Name,ID,Source address,Source Host Name,Source Country,Hour Received,Day Received,Count
code-execution,Apache Struts2 OGNL Remote Code Execution Vulnerability,54691,103.75.191.249,103.75.191.249,Malaysia,12/6/2019 1:00,"Fri, Dec 6, 2019",170
code-execution,Apache Struts2 OGNL Remote Code Execution Vulnerability,54691,119.3.5.10,119.3.5.10,China,10/22/2019 18:00,"Tue, Oct 22, 2019",166
code-execution,Apache Struts2 OGNL Remote Code Execution Vulnerability,54691,122.224.155.227,122.224.155.227,China,12/15/2019 9:00,"Sun, Dec 15, 2019",59
code-execution,Apache Struts2 OGNL Remote Code Execution Vulnerability,54691,58.84.7.229,58.84.7.229,Hong Kong,10/23/2019 21:00,"Wed, Oct 23, 2019",46
code-execution,Apache Struts2 OGNL Remote Code Execution Vulnerability,54691,58.84.7.229,58.84.7.229,Hong Kong,10/23/2019 20:00,"Wed, Oct 23, 2019",46
code-execution,Apache Struts ClassLoader Security Bypass Vulnerability,36932,103.75.191.249,103.75.191.249,Malaysia,12/6/2019 1:00,"Fri, Dec 6, 2019",29
code-execution,Apache Struts ClassLoader Security Bypass Vulnerability,36932,119.3.5.10,119.3.5.10,China,10/22/2019 18:00,"Tue, Oct 22, 2019",28
code-execution,Microsoft Office File with Macros Detected,39154,206.54.190.199,206.54.190.199,United States,1/20/2020 14:00,"Mon, Jan 20, 2020",15
code-execution,Apache Struts ClassLoader Security Bypass Vulnerability,36932,122.224.155.227,122.224.155.227,China,12/15/2019 9:00,"Sun, Dec 15, 2019",15
code-execution,Apache Struts ClassLoader Security Bypass Vulnerability,36932,58.84.7.229,58.84.7.229,Hong Kong,10/23/2019 20:00,"Wed, Oct 23, 2019",11
code-execution,Joomla HTTP User Agent Object Injection Vulnerability,38519,104.232.39.187,104.232.39.187,United States,12/1/2019 23:00,"Sun, Dec 1, 2019",9
code-execution,Microsoft Office File with Macros Detected,39154,79.137.101.248,79.137.101.248,France,1/24/2020 16:00,"Fri, Jan 24, 2020",9
code-execution,Joomla HTTP User Agent Object Injection Vulnerability,38519,103.27.108.215,103.27.108.215,Hong Kong,1/5/2020 11:00,"Sun, Jan 5, 2020",9
code-execution,Joomla HTTP User Agent Object Injection Vulnerability,38519,103.218.3.197,103.218.3.197,China,1/9/2020 22:00,"Thu, Jan 9, 2020",9
code-execution,Joomla HTTP User Agent Object Injection Vulnerability,38519,103.102.46.251,103.102.46.251,Singapore,11/27/2019 12:00,"Wed, Nov 27, 2019",9
code-execution,Joomla HTTP User Agent Object Injection Vulnerability,38519,103.208.33.241,103.208.33.241,Hong Kong,12/13/2019 9:00,"Fri, Dec 13, 2019",9
code-execution,Microsoft Office File with Macros Detected,39154,151.80.92.131,151.80.92.131,France,1/24/2020 16:00,"Fri, Jan 24, 2020",9
code-execution,Microsoft Office File with Macros Detected,39154,5.39.42.153,5.39.42.153,France,1/24/2020 16:00,"Fri, Jan 24, 2020",9
code-execution,Joomla HTTP User Agent Object Injection Vulnerability,38519,49.233.171.215,49.233.171.215,China,11/24/2019 19:00,"Sun, Nov 24, 2019",9
code-execution,Joomla HTTP User Agent Object Injection Vulnerability,38519,129.211.47.156,129.211.47.156,China,12/26/2019 7:00,"Thu, Dec 26, 2019",9
